"Name","bedding","date of birth","date of death","diet","diet start date","sex","source pen ID","strain","treatment","Unique Mouse ID","genotype","Climb ID"
"JMUS1080","aspen","2019-10-21","2020-02-06","44% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUS3a7c4f515e08b00896e43d05c252770f","WT","1026"
"JMUS1081","aspen","2019-10-21","2020-06-04","44% fat + fiber","2019-12-05","female","null","CAST/EiJ","None","JMUS26eec486cf6076f41241f2b18eb4672a","WT","1023"
"JMUS1082","aspen","2019-10-21","2020-02-01","44% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUS1402257c4517f1c39cd3f58283ee5b3a","WT","1027"
"JMUS1083","aspen","2019-10-21","2020-02-05","44% fat + fiber","2019-12-05","female","null","CAST/EiJ","None","JMUSb68d9ea71c22e6411dee63e888be3a8b","WT","1024"
"JMUS1084","aspen","2019-10-21","2020-02-06","44% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUScc524d5883cf6b51cb8e9f5a06045be7","WT","1028"
"JMUS1619","aspen","2019-12-19","2020-03-16","10% fat + fiber","2020-01-30","female","H-704-18","CAST/EiJ","None","JMUS8a087fdd1c4c3d794121ea5dff181aae","WT","2144"
"JMUS1620","aspen","2019-12-19","2020-04-06","10% fat + fiber","2020-01-30","female","H-704-18","CAST/EiJ","None","JMUS7628fc8006bb287baaf0c9b5c35951c6","WT","2145"
"JMUS1621","aspen","2019-12-19","2020-04-06","10% fat + fiber","2020-01-30","female","H-704-18","CAST/EiJ","None","JMUS08b66821d13313fbcb82e4c53d61637e","WT","2146"
"JMUS1622","aspen","2019-12-19","2020-04-06","44% fat + fiber","2020-01-30","female","H-704-18","CAST/EiJ","None","JMUS444d40579484e54cd7cb79d053666d68","WT","2147"
"JMUS1623","aspen","2019-12-19","2020-04-06","44% fat + fiber","2020-01-30","female","H-704-18","CAST/EiJ","None","JMUS02eb4fcfa2c6629d961cffb927f9ce2e","WT","2148"
"JMUS1624","aspen","12/19/2019","4/3/2020","10% fat + fiber","1/30/2020","male","H-705-18","CAST/EiJ","None","JMUS32ce6015201dbf86b04725078cd6df00","WT",""
"JMUS1625","aspen","12/19/2019","4/3/2020","10% fat + fiber","1/30/2020","male","H-705-18","CAST/EiJ","None","JMUSebfe465c1fbc383d0249f0a21663275d","WT",""
"JMUS1626","aspen","12/19/2019","4/3/2020","10% fat + fiber","1/30/2020","male","H-705-18","CAST/EiJ","None","JMUS0ff4a30b4e157cbd57e171c767945c94","WT",""
"JMUS1627","aspen","2019-12-16","2020-03-30","10% fat + fiber","2020-01-30","female","H-871-18","CAST/EiJ","None","JMUS16cc77a1c6a13d804003dda599081470","WT","2155"
"JMUS1628","aspen","2019-12-16","2020-03-16","10% fat + fiber","2020-01-30","female","H-871-18","CAST/EiJ","None","JMUS6ddfa65d685e5011a8cc877f005f9637","WT","2156"
"JMUS1629","aspen","2019-12-16","2020-06-04","10% fat + fiber","2020-01-30","female","H-871-18","CAST/EiJ","None","JMUSf303b714d1b6274b7349908e5ce1a891","WT","2157"
"JMUS1630","aspen","2019-12-16","2020-04-02","44% fat + fiber","2020-01-30","male","H-872-18","CAST/EiJ","None","JMUS947b23737d0a59452830ae49a5a1f981","WT","2158"
"JMUS1631","aspen","2019-12-16","2020-04-06","44% fat + fiber","2020-01-30","male","H-872-18","CAST/EiJ","None","JMUS4e9a42cff842c599fe27b157f441c141","WT","2159"
"JMUS1632","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","female","H-713-18","NZO/HlLtJ","None","JMUS82368c2cb43f9127c7c060f426876c07","WT","2172"
"JMUS1633","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","female","H-713-18","NZO/HlLtJ","None","JMUS44d9af08e4e27436b9635c82b0d99a56","WT","2173"
"JMUS1634","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","female","H-713-18","NZO/HlLtJ","None","JMUS1edf2cf97ab49fcca0cffc67075f4448","WT","2174"
"JMUS1635","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","female","H-713-18","NZO/HlLtJ","None","JMUS4fc2607d9b0c6dd98e539f212bd2c96f","WT","2175"
"JMUS1636","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-714-18","NZO/HlLtJ","None","JMUS842a8c7513b676a5095251df1e56d440","WT","2176"
"JMUS1637","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-714-18","NZO/HlLtJ","None","JMUSaa68e289838786565c82de8e3c9a731f","WT","2177"
"JMUS1638","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-714-18","NZO/HlLtJ","None","JMUSa8f98dae5cef6767a4eec326350d6a92","WT","2178"
"JMUS1639","alpha-dri","2020-01-02","2020-04-25","10% fat + fiber","2020-02-13","female","H-794-18","NZO/HlLtJ","None","JMUS41092e5ff3fb721f75df1cd4c7b63b45","WT","2401"
"JMUS1640","alpha-dri","2020-01-02","2020-04-25","10% fat + fiber","2020-02-13","female","H-794-18","NZO/HlLtJ","None","JMUS17a30feca8d470761f47d91b3c15c3c3","WT","2402"
"JMUS1641","alpha-dri","2020-01-02","2020-04-25","44% fat + fiber","2020-02-13","female","H-794-18","NZO/HlLtJ","None","JMUSbd68888f500f1325df910337994e8084","WT","2403"
"JMUS1642","alpha-dri","2020-01-02","2020-04-25","44% fat + fiber","2020-02-13","female","H-794-18","NZO/HlLtJ","None","JMUSa8039b9b953aafee16260f99a8026caf","WT","2404"
"JMUS1643","alpha-dri","2020-01-02","2020-04-25","10% fat + fiber","2020-02-13","male","H-795-18","NZO/HlLtJ","None","JMUSac418201355aaac79642a35ec115c23c","WT","2405"
"JMUS1644","alpha-dri","2020-01-02","2020-04-25","10% fat + fiber","2020-02-13","male","H-795-18","NZO/HlLtJ","None","JMUS69385b24cbff505971127603524dc084","WT","2406"
"JMUS1645","alpha-dri","2020-01-02","2020-04-25","44% fat + fiber","2020-02-13","male","H-795-18","NZO/HlLtJ","None","JMUSfb76a9a14967f764cd641e18fa41e0d4","WT","2407"
"JMUS1646","alpha-dri","2020-01-02","2020-04-25","44% fat + fiber","2020-02-13","male","H-795-18","NZO/HlLtJ","None","JMUS5244c29289c14e77f92905aa8a70885a","WT","2408"
"JMUS1647","alpha-dri","2020-01-02","2020-04-25","44% fat + fiber","2020-02-13","male","H-795-18","NZO/HlLtJ","None","JMUS4a16194e8a20c9184bfe6fcbdb16385f","WT","2409"
"JMUS1648","aspen","2019-12-20","2020-04-25","10% fat + fiber","2020-01-30","female","H-723-18","C57BL/6J","None","JMUS37ff848fdb6a550a21e8a79755bcef6a","WT","2200"
"JMUS1649","aspen","2019-12-20","2020-04-25","10% fat + fiber","2020-01-30","female","H-723-18","C57BL/6J","None","JMUSdb049d2db4f33fd670b263430da95757","WT","2201"
"JMUS1650","aspen","2019-12-20","2020-04-25","10% fat + fiber","2020-01-30","female","H-723-18","C57BL/6J","None","JMUS37e6119b0694309cbee3906fc204e01a","WT","2202"
"JMUS1651","aspen","2019-12-20","2020-04-25","10% fat + fiber","2020-01-30","female","H-723-18","C57BL/6J","None","JMUS35100c0abb4fc9d930855285d6debf84","WT","2203"
"JMUS1652","aspen","2019-12-20","2020-04-25","10% fat + fiber","2020-01-30","female","H-723-18","C57BL/6J","None","JMUSd9bc9ba18db83b37f4bfea347472c780","WT","2204"
"JMUS1653","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-723-18","C57BL/6J","None","JMUS4f539fc58279e9a4695899be1eff9fd8","WT","2205"
"JMUS1654","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-723-18","C57BL/6J","None","JMUSc37bcf269b0f2642d69935e54963e1bf","WT","2206"
"JMUS1655","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-723-18","C57BL/6J","None","JMUSe7631c56c4a5e288c202ee62aaa1aaa2","WT","2207"
"JMUS1656","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-723-18","C57BL/6J","None","JMUS46c57d6b7bbe0f71683eabbc46ef8ee0","WT","2208"
"JMUS1657","aspen","2019-12-20","2020-04-06","10% fat + fiber","2020-01-30","male","H-723-18","C57BL/6J","None","JMUS709c2b1cce22a8fdd8089d14c353144b","WT","2209"
"JMUS1658","alpha-dri","2019-12-25","2020-04-03","44% fat + fiber","2020-02-06","female","H-745-18","NZO/HlLtJ","None","JMUS914e85cb7352da071f979e2578febfd6","WT","2286"
"JMUS1659","alpha-dri","2019-12-25","2020-04-03","44% fat + fiber","2020-02-06","female","H-745-18","NZO/HlLtJ","None","JMUS0e6bb44e43ee747683229c4922a0d52c","WT","2287"
"JMUS1660","alpha-dri","2019-12-25","2020-04-03","44% fat + fiber","2020-02-06","female","H-745-18","NZO/HlLtJ","None","JMUS0ffbc62f87215b47b1be679388b7ebdb","WT","2288"
"JMUS1661","alpha-dri","2019-12-25","2020-04-03","44% fat + fiber","2020-02-06","male","H-746-18","NZO/HlLtJ","None","JMUS0fb6ff2a1b80b04214795cd7507c0719","WT","2289"
"JMUS1662","alpha-dri","2019-12-25","2020-04-03","44% fat + fiber","2020-02-06","male","H-746-18","NZO/HlLtJ","None","JMUS581064fa7859dbb157762c3fa8e0d974","WT","2290"
"JMUS1663","alpha-dri","2019-12-25","2020-06-05","44% fat + fiber","2020-02-06","male","H-746-18","NZO/HlLtJ","None","JMUSd5f3e73a06b0ea7cb6eb745b2c3b4a77","WT","2291"
"JMUS1664","aspen","2019-12-24","2020-03-30","10% fat + fiber","2020-02-06","male","H-747-18","CAST/EiJ","None","JMUS15d210bed6250649db578aab32df3580","WT","2292"
"JMUS1665","aspen","2019-12-24","2020-06-04","44% fat + fiber","2020-02-06","male","H-747-18","CAST/EiJ","None","JMUSc98089bc7993163a7157592f94579fd5","WT","2293"
"JMUS1666","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-06","female","H-748-18","C57BL/6J","None","JMUScc79a2f9f186beaecb24990fdf1d925b","WT","2294"
"JMUS1667","aspen","2019-12-28","2020-01-25","44% fat + fiber","2020-02-06","female","H-748-18","C57BL/6J","None","JMUSab1e449d61beeb22e4e357f79b8e4fc5","WT","2295"
"JMUS1668","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-06","female","H-748-18","C57BL/6J","None","JMUS339bd10976ed98b758f57e5cb17f2526","WT","2296"
"JMUS1669","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","female","H-748-18","C57BL/6J","None","JMUS02b8db0020b454920d4419f8c8d69685","WT","2297"
"JMUS1670","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","female","H-748-18","C57BL/6J","None","JMUSbf461af82303ffa6c79c37bad7637985","WT","2298"
"JMUS1671","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","male","H-749-18","C57BL/6J","None","JMUS4e4c02d7f45855cc151ab3fd66177706","WT","2299"
"JMUS1672","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","male","H-749-18","C57BL/6J","None","JMUS95c75cb1b7b0b51481f39f9d8c222132","WT","2300"
"JMUS1673","aspen","2019-12-23","2020-04-03","10% fat + fiber","2020-02-06","male","null","CAST/EiJ","None","JMUS27b2a43af2cdd65a12f666f5c5139b66","WT","2249"
"JMUS1674","aspen","2019-12-23","2020-04-25","10% fat + fiber","2020-02-06","male","null","CAST/EiJ","None","JMUS1d50dceca1a4e1d8c52fde4f474cf5e9","WT","2250"
"JMUS1675","alpha-dri","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","female","H-798-18","NZO/HlLtJ","None","JMUSce5800a3e7f8446ad7020028681ec119","WT","2415"
"JMUS1676","alpha-dri","2019-12-28","2020-04-25","44% fat + fiber","2020-02-14","female","H-798-18","NZO/HlLtJ","None","JMUS1ec6c3950222a2a276ce67d880a2241e","WT","2416"
"JMUS1677","alpha-dri","2019-12-28","2020-06-05","44% fat + fiber","2020-02-14","female","H-798-18","NZO/HlLtJ","None","JMUS3ef519c1faee88c5a4f94b8fbbeb202e","WT","2417"
"JMUS1678","alpha-dri","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","male","H-799-18","NZO/HlLtJ","None","JMUSe2a44ec40dd3dceeae3abcb578fba4b7","WT","2418"
"JMUS1679","alpha-dri","2019-12-28","2020-04-25","44% fat + fiber","2020-02-14","male","H-799-18","NZO/HlLtJ","None","JMUS9b66c9d67fd7dd99298532c0ae1d779c","WT","2419"
"JMUS1680","alpha-dri","2019-12-28","2020-04-25","44% fat + fiber","2020-02-14","male","H-799-18","NZO/HlLtJ","None","JMUS148613d7f6d70fa3de342ed6c3ff8445","WT","2420"
"JMUS1681","alpha-dri","2019-12-30","2020-04-03","10% fat + fiber","2020-02-14","female","H-796-18","NZO/HlLtJ","None","JMUS35a83efdb0ab2a2ed2ce19e299856ea8","WT","2410"
"JMUS1682","alpha-dri","2019-12-30","2020-04-03","10% fat + fiber","2020-02-14","female","H-796-18","NZO/HlLtJ","None","JMUS25454c6625c410f85c9f9a1f81ad1dfc","WT","2411"
"JMUS1683","alpha-dri","2019-12-30","2020-04-03","10% fat + fiber","2020-02-14","male","H-797-18","NZO/HlLtJ","None","JMUS66093f53b6276eb45d2c185c1b7802fc","WT","2412"
"JMUS1684","alpha-dri","2019-12-30","2020-04-25","10% fat + fiber","2020-02-14","male","H-797-18","NZO/HlLtJ","None","JMUS85772b0455950f3c36154d25c3985d48","WT","2413"
"JMUS1685","alpha-dri","2019-12-30","2020-04-25","10% fat + fiber","2020-02-14","male","H-797-18","NZO/HlLtJ","None","JMUSf5b9489e122ae024a6fa4314badb8f15","WT","2414"
"JMUS1686","aspen","2019-12-29","2020-04-03","44% fat + fiber","2020-02-14","male","H-792-18","CAST/EiJ","None","JMUS0a50f76fc631b270f42ea56769290f0c","WT","2397"
"JMUS1687","aspen","2019-12-29","2020-04-03","44% fat + fiber","2020-02-14","male","H-792-18","CAST/EiJ","None","JMUS42fc2f28b60972c05ab02e60b5a64675","WT","2398"
"JMUS1688","aspen","2019-12-29","2020-04-29","44% fat + fiber","2020-02-14","male","H-793-18","CAST/EiJ","None","JMUS0f94b14deb62fe8f84b00da4f50f26b6","WT","2399"
"JMUS1689","aspen","2019-12-29","2020-03-24","44% fat + fiber","2020-02-14","male","H-793-18","CAST/EiJ","None","JMUS0d37af357bc9ee68051a9eabe32044fe","WT","2400"
"JMUS1690","aspen","2019-12-27","2020-04-18","44% fat + fiber","2020-02-06","female","H-790-18","CAST/EiJ","None","JMUSc427e3432b8ede68ee1e94b3992102e9","WT","2391"
"JMUS1691","aspen","2019-12-27","2020-04-21","44% fat + fiber","2020-02-06","female","H-790-18","CAST/EiJ","None","JMUSb276bf7e4c78ec91779299ff6627421f","WT","2392"
"JMUS1692","aspen","2019-12-27","2020-04-03","10% fat + fiber","2020-02-06","male","H-791-18","CAST/EiJ","None","JMUSabbc5edfb561da93d357e6a1783afb55","WT","2393"
"JMUS1693","aspen","2019-12-27","2020-06-04","10% fat + fiber","2020-02-06","male","H-791-18","CAST/EiJ","None","JMUSd8b6dce88e66cbf2ff8c0519876a5233","WT","2394"
"JMUS1694","aspen","2019-12-27","2020-04-03","10% fat + fiber","2020-02-06","male","H-791-18","CAST/EiJ","None","JMUSaf05fd804de6762cbebdb312a8f0f74e","WT","2395"
"JMUS1695","aspen","2019-12-27","2020-04-03","10% fat + fiber","2020-02-06","male","H-791-18","CAST/EiJ","None","JMUS590afe8b276c6a8770957b375c9d94d3","WT","2396"
"JMUS1696","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","male","H-787-18","C57BL/6J","None","JMUS3108856bebdb006c85bd0d3e406f86ca","WT","2382"
"JMUS1697","aspen","2019-12-28","2020-04-03","44% fat + fiber","2020-02-14","male","H-787-18","C57BL/6J","None","JMUSa9ea586e4936d1ef3ec6d5a084f712f9","WT","2383"
"JMUS1698","aspen","2019-12-28","2020-04-03","10% fat + fiber","2020-02-14","female","H-788-18","C57BL/6J","None","JMUS186a7569b10d73903896987bbdfd8621","WT","2384"
"JMUS1699","aspen","2019-12-28","2020-04-03","10% fat + fiber","2020-02-14","female","H-788-18","C57BL/6J","None","JMUS4d8545de079a26ae920661976967c559","WT","2385"
"JMUS1700","aspen","2019-12-28","2020-04-03","10% fat + fiber","2020-02-14","female","H-788-18","C57BL/6J","None","JMUSf375973db74228d1e375daafeb07f1ff","WT","2386"
"JMUS1701","aspen","2019-12-28","2020-04-03","10% fat + fiber","2020-02-14","female","H-788-18","C57BL/6J","None","JMUS992dde0443d22b8ec8436f2b53dcd1bc","WT","2387"
"JMUS1702","aspen","2019-12-28","2020-04-25","44% fat + fiber","2020-02-14","female","H-789-18","C57BL/6J","None","JMUS77c0f20bbd4fb4f05faa7e00bf06a063","WT","2388"
"JMUS1703","aspen","2019-12-28","2020-04-25","44% fat + fiber","2020-02-14","female","H-789-18","C57BL/6J","None","JMUSd32fc6e48ed252c090bfe3c9b341ea16","WT","2389"
"JMUS1704","aspen","2019-12-28","2020-04-25","44% fat + fiber","2020-02-14","female","H-789-18","C57BL/6J","None","JMUSc36ba5a3bb4f9ae8efe482e80edc08af","WT","2390"
"JMUS1705","aspen","2019-10-21","2020-02-05","44% fat + fiber","2019-12-05","female","null","CAST/EiJ","None","JMUS36b17758a5298d5c93ed58865d9ce696","WT","1025"
"JMUS1706","aspen","2019-10-25","2020-02-05","44% fat + fiber","2019-12-13","male","null","CAST/EiJ","None","JMUS1fb9439cc7d6095c3e7a4a7a0de00cf9","WT","1157"
"JMUS2434","aspen","2019-10-17","2020-01-25","44% fat + fiber","2019-11-26","female","null","CAST/EiJ","None","JMUS4f5b7ec921be6e24a8039ce534b75d1e","WT","1022"
"JMUS2435","aspen","2019-10-20","2020-02-03","10% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUS4488f1b4f5106b091bda2f73e834d238","WT","1032"
"JMUS2449","alpha-dri","2019-10-31","2020-02-19","10% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUS9ee5239044a9b658081d1c685a7e657c","WT","1136"
"JMUS2450","alpha-dri","2019-10-31","2020-02-19","10% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUSfe3b62019ac4e8fb05c036097326563c","WT","1137"
"JMUS2451","alpha-dri","2019-10-31","2020-02-19","10% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUS4272e0cd31452c087b28db85e458a1cd","WT","1138"
"JMUS2452","alpha-dri","2019-10-31","2020-02-19","44% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUSbf58255d31791b637ec0b6a37e5bac08","WT","1139"
"JMUS2453","alpha-dri","2019-10-31","2020-02-20","44% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUS52b5d52f2872180784646d726e167f35","WT","1140"
"JMUS2454","alpha-dri","2019-10-31","2020-02-20","44% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUSd4afaebe6cf52d9125edb33dba08bf6f","WT","1141"
"JMUS2455","alpha-dri","2019-10-31","2020-02-19","10% fat + fiber","2019-12-20","male","null","NZO/HlLtJ","None","JMUSe4436252f96c24bfab43925276905c30","WT","1142"
"JMUS2456","alpha-dri","2019-10-31","2020-02-19","10% fat + fiber","2019-12-20","male","null","NZO/HlLtJ","None","JMUS652f78bd392a443f1d5810412c61e6ba","WT","1143"
"JMUS2457","aspen","2019-10-27","2020-02-10","10% fat + fiber","2019-12-12","female","null","C57BL/6J","None","JMUS0cdb95656d49eafe940fc9a2b7f869f9","WT","1144"
"JMUS2458","aspen","2019-10-27","2020-02-18","10% fat + fiber","2019-12-12","female","null","C57BL/6J","None","JMUS3781908c9b314d45e08d15d8a60d942a","WT","1145"
"JMUS2459","aspen","2019-10-27","2020-02-18","10% fat + fiber","2019-12-12","female","null","C57BL/6J","None","JMUS7446a5dc30f538c7c57d2e4629452d8f","WT","1146"
"JMUS2460","aspen","2019-10-27","2020-02-10","10% fat + fiber","2019-12-12","male","null","C57BL/6J","None","JMUS6f07a05be67c0fe6a7233bfda010725c","WT","1147"
"JMUS2461","aspen","2019-10-27","2020-02-18","10% fat + fiber","2019-12-12","male","null","C57BL/6J","None","JMUS9348094fbbf6af33423b4e2b033c462c","WT","1148"
"JMUS2462","aspen","2019-10-27","2020-02-18","10% fat + fiber","2019-12-12","male","null","C57BL/6J","None","JMUS5eed5697e41382d1b7a81eed21a0e743","WT","1149"
"JMUS2470","aspen","2019-10-25","2020-02-10","44% fat + fiber","2019-12-13","male","null","CAST/EiJ","None","JMUS58ce40867d908ef48269fc9e642e5750","WT","1158"
"JMUS2471","aspen","2019-10-25","2020-02-10","44% fat + fiber","2019-12-13","male","null","CAST/EiJ","None","JMUS64321ae199fc1285a466e78e7a8b49e5","WT","1159"
"JMUS2482","aspen","2019-10-30","2020-02-17","44% fat + fiber","2019-12-20","female","H-400-18","C57BL/6J","None","JMUS0699c65721eb3dde007564e5a9a20fb4","WT","1197"
"JMUS2483","aspen","2019-10-30","2020-03-12","44% fat + fiber","2019-12-20","female","H-400-18","C57BL/6J","None","JMUSeab33e959abc0ec2018d1201d58f2feb","WT","1198"
"JMUS2484","aspen","2019-10-30","2020-03-12","44% fat + fiber","2019-12-20","female","H-400-18","C57BL/6J","None","JMUS1ebd933570e2e547a719231387d6a895","WT","1199"
"JMUS2485","aspen","2019-10-30","2020-03-12","44% fat + fiber","2019-12-20","female","H-400-18","C57BL/6J","None","JMUS4142168bfa27cc506c2b8f18f18cd00c","WT","1200"
"JMUS2486","aspen","2019-10-30","2020-02-17","44% fat + fiber","2019-12-20","male","H-401-18","C57BL/6J","None","JMUS21ee3355ccbcd8e3c66870dcbc17671b","WT","1201"
"JMUS2487","aspen","2019-10-30","2020-02-17","44% fat + fiber","2019-12-20","male","H-401-18","C57BL/6J","None","JMUSe94955bfb38cd0c8702ba6f1214533b4","WT","1202"
"JMUS2488","aspen","2019-10-30","2020-03-12","44% fat + fiber","2019-12-20","male","H-401-18","C57BL/6J","None","JMUSeee55e171918cb932ec66a106147ae85","WT","1203"
"JMUS2489","aspen","2019-10-30","2020-03-12","44% fat + fiber","2019-12-20","male","H-401-18","C57BL/6J","None","JMUS85ab99c858f24458b789704d396f3e4c","WT","1204"
"JMUS2490","aspen","2019-10-30","2020-03-12","44% fat + fiber","2019-12-20","male","H-401-18","C57BL/6J","None","JMUS702b2ef6382341c36adb60ae72aca96d","WT","1205"
"JMUS2511","alpha-dri","2019-11-03","2020-02-19","10% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUS4232dd568589e4b5e3a89b5459f7d95a","WT","1369"
"JMUS2512","alpha-dri","2019-11-03","2020-04-25","10% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUS50d1ba9a37c5b8b4625850221d837f29","WT","1370"
"JMUS2513","alpha-dri","2019-11-03","2020-02-24","44% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUS808c0e0dfdf4ec0748328cbf318cbb6a","WT","1371"
"JMUS2514","alpha-dri","2019-11-03","2020-02-24","44% fat + fiber","2019-12-20","female","null","NZO/HlLtJ","None","JMUScaa029355e9570d04271baa26167a4e2","WT","1372"
"JMUS2515","alpha-dri","2019-11-03","2020-02-20","44% fat + fiber","2019-12-20","male","null","NZO/HlLtJ","None","JMUSadbc34e96fefeeac6a75cf23d42ad907","WT","1373"
"JMUS2516","alpha-dri","2019-11-03","2020-02-20","44% fat + fiber","2019-12-20","male","null","NZO/HlLtJ","None","JMUS504f2a839093e8d8586d80abc006fd2e","WT","1374"
"JMUS2517","alpha-dri","2019-11-03","2020-02-20","44% fat + fiber","2019-12-20","male","null","NZO/HlLtJ","None","JMUS1c807d1e486079fead071ce8c446fa02","WT","1375"
"JMUS2518","alpha-dri","2019-11-03","2020-06-05","44% fat + fiber","2019-12-20","male","null","NZO/HlLtJ","None","JMUSce6544d1764fef0de6e1dd16e1bb7f8e","WT","1376"
"JMUS2533","aspen","2019-11-01","2020-01-08","10% fat + fiber","2019-12-01","female","null","CAST/EiJ","None","JMUS548b06b5f318fc47d5a5a5d9ea635991","WT","1412"
"JMUS2534","aspen","2019-11-01","2020-01-21","10% fat + fiber","2019-12-01","female","null","CAST/EiJ","None","JMUS02207cb4d5c26f2aa488e97736274487","WT","1413"
"JMUS2535","aspen","2019-11-01","2020-01-21","10% fat + fiber","2019-12-01","female","null","CAST/EiJ","None","JMUS03127bc4b720414a5152459b4a4b9344","WT","1414"
"JMUS2536","aspen","2019-11-01","2020-01-21","10% fat + fiber","2019-12-01","female","null","CAST/EiJ","None","JMUS8cf4a36fa297be4e49d369b71abcb5ef","WT","1415"
"JMUS2540","alpha-dri","2019-11-22","2020-03-04","10% fat + fiber","2020-01-03","male","H-553-18","NZO/HlLtJ","None","JMUS7c49831fad09474fb24d7cecd0cc7b43","WT","1601"
"JMUS2541","alpha-dri","2019-11-22","2020-03-02","10% fat + fiber","2020-01-03","male","H-553-18","NZO/HlLtJ","None","JMUS3043763ea2ff4f1e22011d5875e4e057","WT","1602"
"JMUS2555","alpha-dri","11/27/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-490-18","NZO/HlLtJ","None","JMUS2555d0520968c3e1297b8568a61bb9d7376e","WT",""
"JMUS2556","alpha-dri","11/27/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-490-18","NZO/HlLtJ","None","JMUS25568170d5edcd9cc88d13044935898b408d","WT",""
